Track Name,Artist Name,Release Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,Popularity
Bang Bang Bang,Selena Gomez & The Scene,2011.0,0.77,0.766,0.0,-2.949,1.0,0.0358,0.234,4.13e-06,0.0921,0.834,114.022,3.252666666666667,46
Barbra Streisand,Duck Sauce,2014.0,0.707,0.813,1.0,-4.129,1.0,0.339,0.00649,0.000448,0.249,0.741,127.901,4.413566666666667,52
Barely Breathing,The Hold Steady,2010.0,0.509,0.744,7.0,-4.158,0.0,0.0504,0.212,0.0,0.0759,0.542,89.881,3.6262166666666666,12
Barnacled Warship,Johnny Flynn,2010.0,0.741,0.554,0.0,-7.119,1.0,0.0269,0.311,0.00268,0.66,0.607,108.053,5.23355,20
Barricade,Interpol,2010.0,0.584,0.874,4.0,-5.814,0.0,0.0555,5.7e-05,0.000977,0.0954,0.656,126.452,4.166666666666667,44
Basic Instinct (U Got Me),Ciara,2010.0,0.542,0.736,7.0,-5.253,1.0,0.284,0.0365,0.0,0.254,0.392,172.049,3.48245,18
Basket Case,Sara Bareilles,2010.0,0.427,0.273,2.0,-10.127,1.0,0.0306,0.794,1.49e-05,0.095,0.426,76.196,4.1881,34
Bass Down Low,Dev,2010.0,0.798,0.627,0.0,-8.086,1.0,0.0602,0.0778,0.0,0.0472,0.84,113.029,3.51,47
Battle,Chris August,2010.0,0.438,0.817,0.0,-6.095,0.0,0.0376,0.00197,6.39e-06,0.0684,0.307,76.036,2.98845,28
Be Good Until Then,Butch Walker,2018.0,0.528,0.2,6.0,-12.085,1.0,0.0364,0.834,0.0,0.0939,0.421,133.096,4.100216666666666,12
Be My Baby,Ariana Grande,2014.0,0.622,0.586,3.0,-6.241,0.0,0.0356,0.0735,7.41e-06,0.0803,0.434,145.08,3.61755,63
Be Still,The Killers,2023.0,0.556,0.242,3.0,-9.838,1.0,0.0351,0.617,2.76e-05,0.108,0.0382,143.999,4.557333333333333,51
Beach Side,Kings of Leon,2010.0,0.488,0.749,1.0,-5.73,0.0,0.03,0.0428,0.000845,0.105,0.48,170.69,2.8493333333333335,56
"Beamer, Benz, Or Bentley",Lloyd Banks,2010.0,0.652,0.671,4.0,-5.376,0.0,0.315,0.00402,2.89e-05,0.598,0.518,159.963,3.473116666666667,57
Beat Is Up,Liz Phair,2010.0,0.738,0.865,2.0,-9.292,1.0,0.0624,0.0208,8.05e-05,0.0654,0.82,119.994,3.3197833333333335,5
Beat The Devil's Tattoo,Black Rebel Motorcycle Club,2010.0,0.521,0.921,4.0,-2.744,1.0,0.0382,0.42,0.0207,0.175,0.707,96.51,3.7626666666666666,53
Beautiful,DJ Khaled,2022.0,0.489,0.55,6.0,-6.729,1.0,0.233,0.103,0.0,0.118,0.241,171.882,3.72055,64
Beautiful Dangerous,Slash,2010.0,0.528,0.802,6.0,-5.376,0.0,0.0357,0.00611,0.0,0.35,0.531,98.144,4.645333333333333,35
Beautiful Every Time,Lee Brice,2010.0,0.437,0.74,11.0,-4.525,1.0,0.0484,0.133,0.0,0.0967,0.558,149.81,3.5017833333333335,33
Beautiful Monster,Ne-Yo,2010.0,0.708,0.771,5.0,-6.99,0.0,0.131,0.209,5.32e-06,0.277,0.494,128.013,4.1928833333333335,60
Beauty in the World,Macy Gray,2010.0,0.678,0.616,7.0,-9.296,1.0,0.0305,0.00151,0.0,0.148,0.692,100.518,3.82755,46
Because of the Shame,Against Me!,2011.0,0.464,0.95,2.0,-2.907,1.0,0.0529,7.36e-05,0.000631,0.329,0.629,157.823,4.35555,43
Bed Intruder Song,The Gregory Brothers,2011.0,0.543,0.649,0.0,-9.04,1.0,0.0409,0.000587,0.79,0.0698,0.462,152.058,3.1111,0
Bees,Warpaint,2010.0,0.598,0.781,9.0,-6.386,0.0,0.0428,0.0379,0.00162,0.105,0.568,102.122,4.42045,23
